id,name,symbol,slug,cmc_rank,max_supply,circulating_supply,total_supply,date_added,last_updated,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tags
23254,Core,CORE,core-dao,115,2100000000.0,997389546.732147,2093769839.0352812,2023-02-08T12:26:11.000Z,2025-03-22T17:11:00.000Z,0.4487959891664401,10382848.23129366,-0.21188099,1.88369052,9.35875391,-12.38626165,-47.03512274,-58.83848857,447624428.20992124,0.0162,942471577.25,
9816,APENFT,NFT,apenft,116,999990000000000.0,999990000000000.0,999990000000000.0,2021-05-14T00:00:00.000Z,2025-03-22T17:11:00.000Z,4.445224514270726e-07,15757193.83334218,-0.35032324,-0.16663881,3.10655031,-1.01942364,-9.45629841,-14.1421524,444518006.20255834,0.0161,444518006.2,"art,collectibles-nfts,ethereum-ecosystem,tron-ecosystem,heco-ecosystem,tron20-ecosystem"
4066,Chiliz,CHZ,chiliz,117,,9481279732.0,9481279732.0,2019-07-01T00:00:00.000Z,2025-03-22T17:11:00.000Z,0.04674490285549264,31650828.18313958,0.66819162,5.06626451,3.06989413,-12.23922363,-40.03218135,-45.16465381,443201500.0180913,0.0161,443201500.02,"sports,collectibles-nfts,content-creation,payments,layer-1,alleged-sec-securities"
4157,THORChain,RUNE,thorchain,118,,351749592.0,425742925.0,2019-07-23T00:00:00.000Z,2025-03-22T17:10:00.000Z,1.249139262646598,107683022.89139448,0.19299453,2.94555104,6.63143177,4.08615942,-62.97962671,-75.07024613,439384225.9871217,0.0159,531812203.41,"cosmos-ecosystem,decentralized-exchange-dex-token,defi,dex,multicoin-capital-portfolio,exnetwork-capital-portfolio,injective-ecosystem"
10791,eCash,XEC,ecash,119,21000000000000.0,19841129672583.0,19841129672583.0,2021-07-08T00:00:00.000Z,2025-03-22T17:11:00.000Z,2.19612895630603e-05,17780900.4965495,0.78516376,1.09745835,2.41763809,-15.46868618,-37.05619778,-38.30024659,435736793.99782306,0.0158,461187080.82,layer-1
9481,Pendle,PENDLE,pendle,120,,161419555.26160845,258446028.24463487,2021-04-29T00:00:00.000Z,2025-03-22T17:11:00.000Z,2.679983404590956,58238651.88776001,0.44900486,7.8337301,23.12052059,-21.5098548,-28.27579353,-46.5505186,432601729.27756333,0.0157,692631066.68,"defi,ethereum-ecosystem,olympus-pro-ecosystem,arbitrum-ecosystem,spartan-group,real-world-assets,restaking,eigenlayer-ecosystem,cmc-crypto-yearbook-2024-2025,btcfi"
28298,Beam,BEAM,onbeam,121,,49466004168.0,62434008330.0,2021-10-29T04:07:32.000Z,2025-03-22T17:11:00.000Z,0.00831639865944321,67897914.3800744,-0.77808682,21.17797604,29.72949462,-13.93367961,-59.07874431,-69.63747834,411379010.7507674,0.0149,519226103.18,"gaming,ethereum-ecosystem,binance-chain,binance-launchpool,governance,play-to-earn,token,gaming-guild,spartan-group,bnb-chain-ecosystem,dwf-labs-portfolio"
29270,Aerodrome Finance,AERO,aerodrome-finance,122,,801609564.9940704,1551378911.4931138,2024-02-02T07:15:19.000Z,2025-03-22T17:11:00.000Z,0.5092631030761778,9200942.63814534,0.29733502,1.49745326,-5.68991767,-34.07992682,-54.32732792,-65.7385516,408230174.5244253,0.0148,790060038.51,"defi,amm,base-ecosystem,binance-alpha,made-in-america"
4195,FTX Token,FTT,ftx-token,123,,328895103.813207,328895103.813207,2019-07-31T00:00:00.000Z,2025-03-22T17:11:00.000Z,1.2348551876243694,26788200.36565954,0.21799324,7.4932932,-6.32160254,-37.18554071,-35.84270837,-58.65216659,406137825.1279941,0.0147,406137825.13,"marketplace,centralized-exchange,derivatives,ethereum-ecosystem,solana-ecosystem,cms-holdings-portfolio,kenetic-capital-portfolio,alameda-research-portfolio,pantera-capital-portfolio,exnetwork-capital-portfolio,ftx-bankruptcy-estate,alleged-sec-securities,celsius-bankruptcy-estate"
18876,ApeCoin,APE,apecoin-ape,124,1000000000.0,752651515.0,1000000000.0,2022-03-17T12:26:36.000Z,2025-03-22T17:11:00.000Z,0.5370675389093045,36367861.08516772,-0.185852,5.17775105,1.60616968,-20.88071022,-46.91361128,-53.44628664,404224696.81740946,0.0146,537067538.91,"collectibles-nfts,content-creation,gaming,entertainment,dao,ethereum-ecosystem,governance,metaverse,animoca-brands-portfolio,ip-memes"
